Year;Author;Topic;Count
2014;Drozg Vladimir (06179);Geography (Drozg Vladimir (06179));1
2016;Drozg Vladimir (06179);Geography (Drozg Vladimir (06179));1
2022;Jug Laura (55909);Medicine (Jug Laura (55909));1
2022;Peternelj Tina Tinkara (37589);Medicine (Peternelj Tina Tinkara (37589));1
2013;Aberšek Boris (04433);Materials Science (Aberšek Boris (04433));1
2014;Aberšek Boris (04433);Computer Science (Aberšek Boris (04433));1
2015;Aberšek Boris (04433);Computer Science (Aberšek Boris (04433));1
2019;Aberšek Boris (04433);Computer Science (Aberšek Boris (04433));2
2020;Aberšek Boris (04433);Computer Science (Aberšek Boris (04433));1
2022;Aberšek Boris (04433);Computer Science (Aberšek Boris (04433));1
2018;Aberšek Boris (04433);Medicine (Aberšek Boris (04433));1
2022;Aberšek Boris (04433);Medicine (Aberšek Boris (04433));1
2018;Aberšek Boris (04433);Psychology (Aberšek Boris (04433));1
2019;Aberšek Boris (04433);Psychology (Aberšek Boris (04433));1
2019;Aberšek Boris (04433);Sociology (Aberšek Boris (04433));2
2019;Aberšek Boris (04433);Engineering (Aberšek Boris (04433));1
2021;Aberšek Boris (04433);Engineering (Aberšek Boris (04433));1
2021;Aberšek Boris (04433);Business (Aberšek Boris (04433));1
2021;Aberšek Boris (04433);Philosophy (Aberšek Boris (04433));2
2022;Aberšek Boris (04433);Philosophy (Aberšek Boris (04433));1
2022;Aberšek Boris (04433);Education (Aberšek Boris (04433));2
2014;Klun Maja (19293);Economics (Klun Maja (19293));1
2021;Rajić Nevenka (10664);Chemistry (Rajić Nevenka (10664));1
2015;Todorović Biljana (53343);Chemistry (Todorović Biljana (53343));1
2015;Todorović Biljana (53343);Medicine (Todorović Biljana (53343));1
2021;Todorović Biljana (53343);Medicine (Todorović Biljana (53343));1
2022;Todorović Biljana (53343);Medicine (Todorović Biljana (53343));1
2017;Todorović Biljana (53343);Biology (Todorović Biljana (53343));1
2013;Kuder Marko (33579);Computer Science (Kuder Marko (33579));1
2014;Botić Tanja (27839);Chemistry (Botić Tanja (27839));1
2015;Botić Tanja (27839);Chemistry (Botić Tanja (27839));1
2017;Botić Tanja (27839);Chemistry (Botić Tanja (27839));1
2014;Botić Tanja (27839);Biology (Botić Tanja (27839));1
2014;Botić Tanja (27839);Medicine (Botić Tanja (27839));1
2017;Botić Tanja (27839);Medicine (Botić Tanja (27839));1
2015;Botić Tanja (27839);Environmental Science (Botić Tanja (27839));1
2017;Čorović Selma (27964);Computer Science (Čorović Selma (27964));1
2015;Nerat Jasmina (21944);Education (Nerat Jasmina (21944));1
2017;Nerat Jasmina (21944);Medicine (Nerat Jasmina (21944));2
2021;Nerat Jasmina (21944);Medicine (Nerat Jasmina (21944));1
2013;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));1
2014;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));1
2018;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));2
2019;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));1
2020;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));1
2021;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));2
2022;Kotnik Petra (21689);Chemistry (Kotnik Petra (21689));1
2013;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));1
2018;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));1
2019;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));1
2020;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));1
2021;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));2
2022;Kotnik Petra (21689);Medicine (Kotnik Petra (21689));5
2016;Kotnik Petra (21689);Materials Science (Kotnik Petra (21689));1
2022;Kotnik Petra (21689);Materials Science (Kotnik Petra (21689));1
2018;Djokić Danila (31330);Economics (Djokić Danila (31330));1
2018;Brezovec Barbara (27803);Computer Science (Brezovec Barbara (27803));1
2019;Brezovec Barbara (27803);Computer Science (Brezovec Barbara (27803));1
